reporting_period,registrant_cik,registrant_name,series_name,series_id,series_category_name,class_name,class_id,investment_advisor,class_ticker_symbol,Subadvisor_name
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class R-2,C000075889,Capital Research and Management Company,RABXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class R-3,C000075890,Capital Research and Management Company,RACXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class R-4,C000075891,Capital Research and Management Company,RADXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class R-5,C000075892,Capital Research and Management Company,RAEXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class R-6,C000075893,Capital Research and Management Company,RAFXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class C,C000075895,Capital Research and Management Company,AFCXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class F-1,C000075896,Capital Research and Management Company,AFFXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class F-2,C000075897,Capital Research and Management Company,AFGXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class 529-A,C000075898,Capital Research and Management Company,AAFXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class 529-C,C000075900,Capital Research and Management Company,CCFXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class 529-E,C000075901,Capital Research and Management Company,EAFXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class R-2E,C000148462,Capital Research and Management Company,RBEXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class R-5E,C000164807,Capital Research and Management Company,RAGXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class F-3,C000179955,Capital Research and Management Company,USGXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class 529-T,C000189452,Capital Research and Management Company,TSIXX,
31-Oct-17,1454975,American Funds U.S. Government Money Market Fund,American Funds U.S. Government Money Market Fund,S000025394,Exempt Government,Class T,C000189453,Capital Research and Management Company,TTMXX,
